time;treatment;R1;R2;R3;R4
0;C. albicans SC 5314;0;0;0;0
0,5;C. albicans SC 5314;0,0015;0,002;0,0025;0,002
1;C. albicans SC 5314;0,003;0,003;0,003;0,003
1,5;C. albicans SC 5314;0,0045;0,0035;0,004;0,004
2;C. albicans SC 5314;0,006;0,004;0,004;0,004
2,5;C. albicans SC 5314;0,008;0,0055;0,0055;0,006
3;C. albicans SC 5314;0,009;0,006;0,006;0,007
3,5;C. albicans SC 5314;0,0105;0,0075;0,0075;0,0085
4;C. albicans SC 5314;0,012;0,009;0,009;0,01
4,5;C. albicans SC 5314;0,0125;0,0095;0,0095;0,011
5;C. albicans SC 5314;0,014;0,012;0,011;0,013
5,5;C. albicans SC 5314;0,0145;0,0135;0,013;0,0155
6;C. albicans SC 5314;0,016;0,016;0,015;0,018
6,5;C. albicans SC 5314;0,017;0,019;0,018;0,021
7;C. albicans SC 5314;0,018;0,023;0,021;0,024
7,5;C. albicans SC 5314;0,019;0,0275;0,024;0,028
8;C. albicans SC 5314;0,02;0,033;0,028;0,032
8,5;C. albicans SC 5314;0,0205;0,0395;0,0315;0,0375
9;C. albicans SC 5314;0,021;0,047;0,036;0,041
9,5;C. albicans SC 5314;0,0225;0,056;0,042;0,049
10;C. albicans SC 5314;0,023;0,067;0,048;0,055
10,5;C. albicans SC 5314;0,024;0,078;0,056;0,0635
11;C. albicans SC 5314;0,025;0,092;0,064;0,072
11,5;C. albicans SC 5314;0,0255;0,1075;0,0725;0,0805
12;C. albicans SC 5314;0,026;0,124;0,084;0,091
12,5;C. albicans SC 5314;0,027;0,144;0,094;0,102
13;C. albicans SC 5314;0,027;0,163;0,106;0,113
13,5;C. albicans SC 5314;0,028;0,184;0,118;0,1245
14;C. albicans SC 5314;0,029;0,205;0,133;0,139
14,5;C. albicans SC 5314;0,0295;0,227;0,1465;0,153
15;C. albicans SC 5314;0,03;0,25;0,16;0,167
15,5;C. albicans SC 5314;0,03;0,2725;0,175;0,1805
16;C. albicans SC 5314;0,031;0,296;0,19;0,195
16,5;C. albicans SC 5314;0,0315;0,317;0,21;0,211
17;C. albicans SC 5314;0,032;0,344;0,221;0,225
17,5;C. albicans SC 5314;0,0325;0,3685;0,2385;0,2405
18;C. albicans SC 5314;0,033;0,395;0,254;0,255
18,5;C. albicans SC 5314;0,0335;0,418;0,2715;0,2705
19;C. albicans SC 5314;0,034;0,444;0,285;0,286
19,5;C. albicans SC 5314;0,0345;0,464;0,302;0,3005
20;C. albicans SC 5314;0,035;0,482;0,322;0,317
20,5;C. albicans SC 5314;0,0355;0,495;0,338;0,3325
21;C. albicans SC 5314;0,036;0,502;0,348;0,346
21,5;C. albicans SC 5314;0,0365;0,4965;0,3625;0,3565
22;C. albicans SC 5314;0,037;0,49;0,385;0,377
22,5;C. albicans SC 5314;0,038;0,483;0,3965;0,392
23;C. albicans SC 5314;0,038;0,476;0,399;0,404
23,5;C. albicans SC 5314;0,039;0,47;0,411;0,418
24;C. albicans SC 5314;0,04;0,465;0,409;0,428
24,5;C. albicans SC 5314;0,0395;0,461;0,3975;0,4325
25;C. albicans SC 5314;0,04;0,459;0,385;0,433
25,5;C. albicans SC 5314;0,041;0,4555;0,382;0,4275
26;C. albicans SC 5314;0,041;0,454;0,373;0,418
26,5;C. albicans SC 5314;0,0425;0,4525;0,371;0,409
27;C. albicans SC 5314;0,043;0,451;0,366;0,399
27,5;C. albicans SC 5314;0,0435;0,4495;0,363;0,392
28;C. albicans SC 5314;0,044;0,449;0,361;0,387
28,5;C. albicans SC 5314;0,045;0,449;0,3595;0,3845
29;C. albicans SC 5314;0,045;0,449;0,359;0,382
29,5;C. albicans SC 5314;0,046;0,4495;0,357;0,3805
30;C. albicans SC 5314;0,046;0,449;0,356;0,379
30,5;C. albicans SC 5314;0,0475;0,45;0,3535;0,3745
31;C. albicans SC 5314;0,048;0,449;0,352;0,37
31,5;C. albicans SC 5314;0,0485;0,4525;0,3565;0,377
32;C. albicans SC 5314;0,049;0,449;0,356;0,376
32,5;C. albicans SC 5314;0,0495;0,464;0,355;0,375
33;C. albicans SC 5314;0,05;0,45;0,355;0,375
33,5;C. albicans SC 5314;0,051;0,4505;0,3535;0,3715
34;C. albicans SC 5314;0,051;0,457;0,355;0,374
34,5;C. albicans SC 5314;0,0515;0,464;0,356;0,374
35;C. albicans SC 5314;0,052;0,459;0,355;0,374
35,5;C. albicans SC 5314;0,0525;0,48;0,3555;0,375
36;C. albicans SC 5314;0,053;0,494;0,357;0,375
36,5;C. albicans SC 5314;0,054;0,482;0,3565;0,375
37;C. albicans SC 5314;0,054;0,495;0,357;0,375
37,5;C. albicans SC 5314;0,055;0,4755;0,358;0,376
38;C. albicans SC 5314;0,055;0,494;0,358;0,376
38,5;C. albicans SC 5314;0,056;0,492;0,3585;0,376
39;C. albicans SC 5314;0,056;0,464;0,359;0,376
39,5;C. albicans SC 5314;0,0565;0,48;0,3595;0,377
40;C. albicans SC 5314;0,057;0,487;0,361;0,377
40,5;C. albicans SC 5314;0,0575;0,473;0,36;0,3775
41;C. albicans SC 5314;0,058;0,454;0,36;0,378
41,5;C. albicans SC 5314;0,0585;0,4715;0,363;0,3795
42;C. albicans SC 5314;0,059;0,467;0,362;0,379
42,5;C. albicans SC 5314;0,059;0,4625;0,362;0,3795
43;C. albicans SC 5314;0,06;0,457;0,362;0,379
43,5;C. albicans SC 5314;0,06;0,458;0,362;0,3795
44;C. albicans SC 5314;0,06;0,454;0,362;0,38
44,5;C. albicans SC 5314;0,0615;0,4535;0,3605;0,3775
45;C. albicans SC 5314;0,061;0,452;0,362;0,381
45,5;C. albicans SC 5314;0,0615;0,4505;0,362;0,379
46;C. albicans SC 5314;0,062;0,452;0,364;0,382
46,5;C. albicans SC 5314;0,0625;0,453;0,3635;0,3825
47;C. albicans SC 5314;0,063;0,452;0,363;0,382
47,5;C. albicans SC 5314;0,063;0,454;0,3635;0,382
48;C. albicans SC 5314;0,063;0,452;0,362;0,382
0;control;0;0;0;0
0,5;control;0,002;0,002;0,004;0,0015
1;control;0,003;0,004;0,005;0,003
1,5;control;0,0045;0,0045;0,006;0,004
2;control;0,005;0,005;0,007;0,004
2,5;control;0,0065;0,006;0,0065;0,005
3;control;0,008;0,007;0,007;0,006
3,5;control;0,009;0,007;0,009;0,007
4;control;0,009;0,008;0,009;0,007
4,5;control;0,009;0,008;0,0085;0,007
5;control;0,009;0,008;0,008;0,007
5,5;control;0,009;0,008;0,01;0,007
6;control;0,01;0,008;0,01;0,007
6,5;control;0,01;0,008;0,01;0,007
7;control;0,01;0,008;0,01;0,007
7,5;control;0,01;0,009;0,01;0,008
8;control;0,01;0,009;0,01;0,008
8,5;control;0,01;0,009;0,01;0,008
9;control;0,01;0,009;0,011;0,008
9,5;control;0,01;0,009;0,0105;0,008
10;control;0,01;0,009;0,01;0,008
10,5;control;0,011;0,009;0,011;0,008
11;control;0,011;0,009;0,011;0,008
11,5;control;0,011;0,009;0,011;0,008
12;control;0,011;0,009;0,011;0,008
12,5;control;0,011;0,01;0,011;0,008
13;control;0,011;0,01;0,011;0,008
13,5;control;0,011;0,01;0,011;0,008
14;control;0,011;0,01;0,011;0,008
14,5;control;0,011;0,01;0,011;0,008
15;control;0,011;0,01;0,011;0,008
15,5;control;0,011;0,01;0,011;0,008
16;control;0,011;0,01;0,011;0,008
16,5;control;0,011;0,01;0,0115;0,008
17;control;0,011;0,01;0,011;0,008
17,5;control;0,011;0,01;0,0115;0,008
18;control;0,011;0,01;0,011;0,008
18,5;control;0,011;0,01;0,0115;0,008
19;control;0,011;0,01;0,011;0,008
19,5;control;0,011;0,01;0,011;0,008
20;control;0,011;0,01;0,011;0,008
20,5;control;0,0115;0,01;0,011;0,008
21;control;0,011;0,01;0,011;0,008
21,5;control;0,011;0,01;0,011;0,008
22;control;0,012;0,01;0,011;0,008
22,5;control;0,0115;0,01;0,011;0,008
23;control;0,011;0,01;0,011;0,008
23,5;control;0,012;0,01;0,011;0,008
24;control;0,012;0,01;0,011;0,008
24,5;control;0,0115;0,01;0,011;0,008
25;control;0,011;0,01;0,011;0,008
25,5;control;0,0115;0,01;0,011;0,008
26;control;0,011;0,01;0,011;0,008
26,5;control;0,011;0,01;0,011;0,008
27;control;0,011;0,01;0,011;0,008
27,5;control;0,011;0,01;0,011;0,008
28;control;0,011;0,01;0,011;0,007
28,5;control;0,011;0,01;0,011;0,0075
29;control;0,011;0,01;0,011;0,008
29,5;control;0,011;0,01;0,011;0,0075
30;control;0,011;0,01;0,011;0,007
30,5;control;0,0115;0,01;0,011;0,007
31;control;0,011;0,01;0,011;0,007
31,5;control;0,012;0,01;0,011;0,007
32;control;0,012;0,01;0,011;0,007
32,5;control;0,012;0,01;0,011;0,007
33;control;0,012;0,01;0,011;0,007
33,5;control;0,0115;0,01;0,011;0,007
34;control;0,012;0,01;0,011;0,007
34,5;control;0,012;0,01;0,011;0,007
35;control;0,012;0,01;0,011;0,007
35,5;control;0,012;0,01;0,011;0,007
36;control;0,012;0,01;0,011;0,007
36,5;control;0,012;0,01;0,011;0,007
37;control;0,012;0,01;0,011;0,007
37,5;control;0,012;0,01;0,011;0,007
38;control;0,012;0,01;0,011;0,007
38,5;control;0,012;0,01;0,011;0,007
39;control;0,012;0,01;0,011;0,007
39,5;control;0,012;0,01;0,011;0,007
40;control;0,012;0,01;0,011;0,007
40,5;control;0,012;0,01;0,011;0,007
41;control;0,012;0,01;0,011;0,007
41,5;control;0,012;0,01;0,011;0,007
42;control;0,012;0,01;0,011;0,007
42,5;control;0,012;0,01;0,011;0,007
43;control;0,012;0,01;0,011;0,007
43,5;control;0,012;0,01;0,011;0,007
44;control;0,012;0,01;0,011;0,007
44,5;control;0,012;0,01;0,0115;0,007
45;control;0,012;0,01;0,011;0,007
45,5;control;0,0115;0,01;0,0115;0,007
46;control;0,012;0,01;0,011;0,007
46,5;control;0,012;0,01;0,011;0,007
47;control;0,012;0,01;0,011;0,007
47,5;control;0,012;0,01;0,011;0,007
48;control;0,012;0,01;0,011;0,007
